layer	component	feature	selection_frequency	mean_abs_loading	median_abs_loading
RPPA	2	YWHAZ|14-3-3_zeta	1	0.027522143501559706	0.027522143501559706
RPPA	2	PRKCD|PKC-delta_pS664	1	0.02543309122947379	0.02543309122947379
RPPA	2	EGFR|EGFR	1	0.02523082423019879	0.02523082423019879
RPPA	2	MAPK9|JNK2	1	0.022236888629145145	0.022236888629145145
RPPA	2	BAP1|Bap1-c-4	1	0.021318770500363318	0.021318770500363318
RPPA	2	AKT1 AKT2 AKT3|Akt_pT308	1	0.02127323978956503	0.02127323978956503
RPPA	2	ACACA ACACB|ACC_pS79	1	0.020036451772832527	0.020036451772832527
RPPA	2	SHC1|Shc_pY317	1	0.01880543914670719	0.01880543914670719
RPPA	2	PRDX1|PRDX1	1	0.0174956938732407	0.0174956938732407
RPPA	2	KDR|VEGFR2	1	0.016989228206544662	0.016989228206544662
RPPA	2	AKT1 AKT2 AKT3|Akt	1	0.016539881831172706	0.016539881831172706
RPPA	2	GSK3A GSK3B|GSK3-alpha-beta	1	0.007530613228634598	0.007530613228634598
RPPA	2	PXN|Paxillin	1	0.006966292935283225	0.006966292935283225
RPPA	2	EIF4EBP1|4E-BP1_pT70	1	0.005514484491574554	0.005514484491574554
RPPA	2	RPS6|S6	1	8.665931345228944e-4	8.665931345228944e-4
Y	1	LUAD	5	0.7071067811865475	0.7071067811865475
Y	1	LUSC	5	0.7071067811865475	0.7071067811865475
Y	2	LUAD	5	0.7071067811865476	0.7071067811865476
Y	2	LUSC	5	0.7071067811865476	0.7071067811865476
mRNA	1	PVRL1	5	0.3128933519522964	0.24643593234663078
mRNA	1	TRIM29	5	0.2908187305852708	0.23292450710327453
mRNA	1	PERP	5	0.2315195764182853	0.2112786923926885
mRNA	1	TP63	5	0.21579835523951912	0.20980678594217092
mRNA	1	PKP1	5	0.21428301721914816	0.1997886690590958
mRNA	1	DSC3	5	0.19769289937097717	0.1971352306589347
mRNA	1	KRT5	5	0.19072954107371143	0.19241093932675102
mRNA	1	SLC6A8	5	0.18354967549891765	0.18890543763473627
mRNA	1	PSMD2	5	0.15530191411052288	0.17464707085612685
